Type,Source,Question,Reponse
QnA,Municipalités,En quoi l'état d'urgence sanitaire a un effet sur le processus de division en districts électoraux de la municipalité?,N/A
QnA,Famille et habitation,Les bed-and-breakfast sont-ils ouverts?,N/A
QnA,Famille et habitation,mes amis peuvent tu m'aider à déménager,N/A
QnA,Transports et déplacements,Puis-je covoiturer avec quelqu'un?,N/A
QnA,"Sports, loisirs et culture",est-ce que je peux marcher dehors avec ma famille,N/A
QnA,"Commerces, lieux publics et services prioritaires",Quelle est la liste des commerces visés comme services essentiels ?,N/A
QnA,Transports et déplacements,Peut-on faire du covoiturage?,N/A
QnA,À propos de la COVID-19,Je veux de l'information sur le coronavirus,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Faut tu que je reste chez moi pour aider à la lutte au virus?,N/A
QnA,Famille et habitation,Est-il dangereux d'être en contact avec mon chien si j'ai la Covid-19?,N/A
QnA,Services de santé,C'est tu encore possible d'aller voir un parent mourrant même s'il habite dans une région actuellement fermée ?,N/A
QnA,À propos de la COVID-19,Pourquoi tout le monde s'inquiète sur le covid-19?,N/A
QnA,Offrir son aide,Que puis-je faire pour contribuer à l’autonomie alimentaire du Québec?,N/A
QnA,"Consignes d’isolement, symptômes et traitements","Je veux protéger mon entourage contre le corona, je dois porter un masque?",N/A
QnA,"Consignes d’isolement, symptômes et traitements",Est-ce nécessaire de porter un masque par prévention du corona?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Comment nettoyer mon environnement?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Quelle sont les différences entre le coronavirus et la grippe ou l'influenza?,N/A
QnA,Transports et déplacements,"Si je cancelle mon voyage, est-ce que je vais être remboursé ?",N/A
QnA,Soutien aux personnes,Pourquoi les personnes agées de plus de 70 ans ne peuvent plus travailler?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Les coiffeuses qui se déplacent chez les gens peuvent-elles recommencer?,N/A
QnA,Programmes d'aide et revenus,Jusqu'à quand puis-je m'inscrire au Programme d'aide temporaire aux travailleurs?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Est-ce que le masque peut m'empêcher t'attraper le virus?,N/A
QnA,Soutien aux personnes,Est-ce qu'une personne de plus de 70 ans peut travailler dans un restaurant?,N/A
QnA,Programmes d'aide et revenus,Pourquoi arrêter le Programme d’aide aux travailleurs (PATT)?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Comment passer un test de dépistage?,N/A
QnA,Transports et déplacements,Est-ce qu'on peut utiliser les tables de picnic?,N/A
QnA,"Sports, loisirs et culture",Je peux tu aller faire du quad,N/A
QnA,Famille et habitation,"J'enménage dans une nouvelle maison, c'est permis?",N/A
QnA,"Consignes d’isolement, symptômes et traitements",Est-il conseillé de laver les articles achetés à l’épicerie pour se débarrasser du coronavirus?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Le corona peut se fixer sur quelles surfaces ?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Est-ce qu'on retourne aux heures d'ouverture habituelles des commerces?,N/A
QnA,"Commerces, lieux publics et services prioritaires",doit-on continuer à faire du télétravail,N/A
QnA,"Commerces, lieux publics et services prioritaires","Pour préserver la santé publique dans son épicerie ou restaurant, le propriétaire est responsable de prendre les mesures nécessaires.",N/A
QnA,À propos de la COVID-19,"Si une personne a déjà eu le covid, est-elle contagieuse?",N/A
QnA,"Sports, loisirs et culture","Des touristes viennent de quitter, je fais quoi avec mon airbnb?",N/A
QnA,Famille et habitation,Camps de jour,N/A
QnA,À propos de la COVID-19,Où puis-je m’informer sur la situation?,N/A
QnA,"Sports, loisirs et culture","J'ai le goût de prolonger ma location de chalet, je suis ici depuis février, je peux-tu rester plus longtemps comme j'ai rien d'autre à faire ?",N/A
QnA,"Consignes d’isolement, symptômes et traitements",Pourquoi la population ne porte pas de masque contre le virus?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Comment on fait pour désinfecter?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",La dystrophie musculaire de Duchenne rent-elle plus vulnérable au COVID-19?,N/A
QnA,Services de santé,"Mon père a pris du pire, je peux aller le voir aux soins palliatifs?",N/A
QnA,"Consignes d’isolement, symptômes et traitements","Un membre de ma famille arrive de l'étranger, combien de temps doit-elle rester en isolement?",N/A
QnA,Services de santé,Le plombier peut-il entrer chez une personne agée de plus de 80 ans ?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Est-ce que les massothérapeutes sont ouverts?,N/A
QnA,Programmes d'aide et revenus,Les formulaires PATT vont être en français?,N/A
QnA,Famille et habitation,Est-ce que je peux amener mon enfant en garde partagée dans une zone fermée?,N/A
QnA,"Commerces, lieux publics et services prioritaires",À quand le déconfinement au Québec?,N/A
QnA,À propos de la COVID-19,Comment reconnaître une bonne référence en matière de santé?,N/A
QnA,Transports et déplacements,Toilettes des haltes routières,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Quelle est la procédure à respecter en situation d'isolement volontaire?,N/A
QnA,"Commerces, lieux publics et services prioritaires",massage,N/A
QnA,"Consignes d’isolement, symptômes et traitements","Je suis insuffisant cardiaque, suis-je plus à risque de mourrir du corona?",N/A
QnA,"Consignes d’isolement, symptômes et traitements",Je fais quoi pour me mettre en isolement,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Est-ce que la COVID-19 peut être sur mes vêtements ?,N/A
QnA,À propos de la COVID-19,Est-ce que la situation concernant la COVID-19 est inquiétante au Québec?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Est-ce que les épiceries sont ouvertes le dimanche?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Je me soigne comment maintenant que je suis atteind du corona ?,N/A
QnA,Services de santé,"La formation aux préposés aux bénéficiaires, comment m'inscrire?",N/A
QnA,"Sports, loisirs et culture",Ceux qui ont loué un chalet entre le 29 mars et le 13 avril  pourront-ils y aller ?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Suis-je à risque de complication des suites du COVID même si je suis un jeune adulte?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Est-ce que je dois laver tout ce que je rapporte de l'épicerie?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",La nourriture est-elle une source ou une voie probable de transmission de la COVID-19?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Comment fabriquer un masque maison?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Le port d'un masque va-t-il m'empêcher d'avoir la COVID-19 ?,N/A
QnA,"Consignes d’isolement, symptômes et traitements","Je crois avoir la covid, qu'est-ce que je dois surveiller?",N/A
QnA,Transports et déplacements,cours de moto,N/A
QnA,"Sports, loisirs et culture",Puis-je aller au camping pour entretien de roulotte?,N/A
QnA,"Consignes d’isolement, symptômes et traitements","Si je suis en contact avec une personne qui revient de voyage asymptomatique, dois-je me placer en quarantaine aussi?",N/A
QnA,Services de santé,Est-ce que je peux aller voir un parent mourrant à l'hôpital alors que la région est fermée?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",J'utilise quoi pour nettoyer mon ligne et ma maison si je suis atteint de covid?,N/A
QnA,Offrir son aide,Contribuer à l’autonomie alimentaire en tant que citoyen Québécois.,N/A
QnA,Services de santé,Comment puis-je m'inscrire pour suivre la formation de 3 mois du 10 juin?,N/A
QnA,À propos de la COVID-19,Puis-je avoir le nombre de décès par région au Québec?,N/A
QnA,Transports et déplacements,Est-il possible de faire le transport dans notre auto de nos petits-enfants?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Est-ce que la COVID-19 peut survivre à la congélation d’un plat ou à sa cuisson au micro-ondes ou au four?,N/A
QnA,Écoles et éducation,Mon Cegep n'a pas encore confirmé si mon stage est maintenu. Vais-je être pénalisé ?,N/A
QnA,"Sports, loisirs et culture",Quelles sont les mesure préventives pour les résidences touristiques?,N/A
QnA,Transports et déplacements,Peut-on être plusieurs en voiture?,N/A
QnA,Famille et habitation,puis-je faire appel à ma famille pour transporter mes meubles,N/A
QnA,"Sports, loisirs et culture",Est-ce que je dois désinfecter les surfaces de ma résidence de tourisme après le départ des occupants ?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Liste des commerces essentiels.,N/A
QnA,"Commerces, lieux publics et services prioritaires",Commerces prioritaires,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Les maladies pulmonaires font elles courrir plus de risque de complications avec le coronavirus?,N/A
QnA,Services de santé,Allez-vous m'interdire aussi d'aller voir un parent mourrant parce qu'il est dans une région fermée ?,N/A
QnA,Transports et déplacements,Y'a-t-il une date pour les rassemblements intérieurs en famille?,N/A
QnA,À propos de la COVID-19,Est-ce que les moustiques peuvent transmettre le coronavirus?,N/A
QnA,Offrir son aide,Comment participer à l'autonomie alimentaire du Québec?,N/A
QnA,Soutien aux personnes,J'ai tu le droit d'aller rendre visite à un aîné?,N/A
QnA,Transports et déplacements,Quels sont les services prioritaires de transport et logistique?,N/A
QnA,Transports et déplacements,Quels sont les services de transport qui sont prioritaires ?,N/A
QnA,Offrir son aide,panier bleu,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Gestes pour protéger la famille au domicile.,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Se protéger d'un livreur pour ne pas attraper le virus.,N/A
QnA,Famille et habitation,Pourquoi le gouvernement m'a obligé à fermer mon établissement d'hébergement touristique ?,N/A
QnA,Écoles et éducation,bulletin,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Quelles sont les mesures de distanciation physique à prendre?,N/A
QnA,À propos de la COVID-19,Puis-je connaître le nombre de cas confirmés de COVID par région au Québec ?,N/A
QnA,"Sports, loisirs et culture",Est-ce que le tennis est permis?,N/A
QnA,Programmes d'aide et revenus,Arrêt du Programme d’aide temporaire aux travailleurs.,N/A
QnA,"Commerces, lieux publics et services prioritaires",Ouverture des commerces le dimanche,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Quelles sont les consignes sanitaires en lien avec la COVID-19?,N/A
QnA,Transports et déplacements,Est-ce que les restaurants peuvent mettre des tables de picnic à la disposition des clients?,N/A
QnA,Municipalités,Que doivent faire les municipalités ayant adopté une politique de participation publique?,N/A
QnA,Transports et déplacements,Est-ce qu'il faut avoir peur des transports en commun?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Quand est-ce que les centres d'achat pourront ouvrir?,N/A
QnA,Transports et déplacements,"Je pars en voyage sous peu, dois-je annuler mon voyage ?",N/A
QnA,"Consignes d’isolement, symptômes et traitements",Pourquoi les professionnels de la santé ont des masques et pas moi?,N/A
QnA,Famille et habitation,"Fermeture des établissements d'hébergement touristique, hôtels, chalets, bed & breakfast, auberges.",N/A
QnA,Famille et habitation,J'ai le virus. Est-ce que je peux m'occuper de mon chat?,N/A
QnA,"Sports, loisirs et culture",sentiers de quad,N/A
QnA,Services de santé,"Ma mère habite seule, est-ce que je peux faire son épicerie et aller lui porter ?",N/A
QnA,"Sports, loisirs et culture",Chasse et pêche,N/A
QnA,"Commerces, lieux publics et services prioritaires",j'ai vu quelqu'un tousse sur des aliments,N/A
QnA,"Consignes d’isolement, symptômes et traitements","J'ai 71 ans, quels sont mes droits?",N/A
QnA,Famille et habitation,Les camps de jour seront-ils permis cet été?,N/A
QnA,Famille et habitation,On va faire quoi la saison des déménagements,N/A
QnA,Municipalités,Est-ce que les scrutins référendaires peuvent avoir lieu ?,N/A
QnA,"Sports, loisirs et culture","C'est tu possible de prolonger notre séjour, nous sommes au chalet qu'on a loué depuis cet hiver ?",N/A
QnA,Famille et habitation,"Étant en isolement volontaire, je peux laisser mes chats aller dehors?",N/A
QnA,"Commerces, lieux publics et services prioritaires",Les entreprises de services funéraires et cimetières sont-elels toujours en opération?,N/A
QnA,Municipalités,La municipalité doit-elle annuler les événements sportifs ou culturels tenus sur son territoire?,N/A
QnA,Transports et déplacements,examen de conduite,N/A
QnA,"Sports, loisirs et culture","Si je loue un chalet 3 mois, quelles consignes s'appliquent?",N/A
QnA,À propos de la COVID-19,Que-ce qui va déterminer que la pandémie est maintenant sous contrôle ou terminée?,N/A
QnA,Services de santé,C'est tu correct de faire l'épicerie pour des personnes âgées qui habitent encore dans leur maison,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Est-ce que la COVID peut survivre dans mon frigidaire?,N/A
QnA,Famille et habitation,J'ai besoin d'un électricien.,N/A
QnA,"Consignes d’isolement, symptômes et traitements","Y a-t-il des précautions à prendre avec les repas, plats à emporter ou livraisons?",N/A
QnA,"Sports, loisirs et culture",Si je prend une marche à l'extérieur est-ce que je dois garder une distance de 2 mètres ?,N/A
QnA,"Consignes d’isolement, symptômes et traitements","J'ai un petit rhume, est-ce que je peux continuer le travail?",N/A
QnA,"Consignes d’isolement, symptômes et traitements",Quelles sont les règles à suivre en isolement ?,N/A
QnA,"Sports, loisirs et culture",Puis-je aller en camping avec ma copine même si nous n'avons pas la même adresse postale?,N/A
QnA,"Sports, loisirs et culture",Peut-on aller dans une piscine privée chez des amis?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Comment protéger mon entourage à l'intérieur si je suis testé positif au COVID ?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Que veut dire distanciation physique ?,N/A
QnA,À propos de la COVID-19,"Infection au coronavirus par le nez, la gorge ou les poumons.",N/A
QnA,Transports et déplacements,haltes,N/A
QnA,"Commerces, lieux publics et services prioritaires",Centres commerciaux de Montréal: y'a-t-il une date de réouverture?,N/A
QnA,"Sports, loisirs et culture",Débarcadère pour mon bateau,N/A
QnA,"Consignes d’isolement, symptômes et traitements",A quoi sert la distanciation sociale pour limiter l'épidémie de corona?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Comment se protéger de la COVID de quelqu'un qui vient de l'extérieur ?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Quels commerces sont des services essentiels et vont rester ouvert?,N/A
QnA,Transports et déplacements,Est-ce que je pourrais aller en croisière cet été ?,N/A
QnA,Transports et déplacements,Quels sont les produits à utiliser pour nettoyer mes mains avant de prendre un taxi ?,N/A
QnA,"Commerces, lieux publics et services prioritaires","J'ai besoin de laver mon linge alors est-ce que les nettoyeurs, lavomats et buanderies restent ouverts?",N/A
QnA,Transports et déplacements,Est-il permis de transporter son conjoint ne vivant pas à la même adresse?,N/A
QnA,"Sports, loisirs et culture","Je voudrais savoir s'il y a une limitation dans le nombre de personnes dans le cadre d'entraînement extérieur, yoga, thaï chi",N/A
QnA,"Commerces, lieux publics et services prioritaires",C'est quoi les entreprises qui vont pouvoir recommencer les activités?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Est-ce que les photographes professionnels peuvent ouvrir?,N/A
QnA,"Commerces, lieux publics et services prioritaires",massothérapie,N/A
QnA,"Sports, loisirs et culture",Combien de personnes avons-nous le droit pour les activités de plein air?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Que doit faire la direction si un employé développe des symptômes en milieu de travail?,N/A
QnA,À propos de la COVID-19,Comment le virus est-il transmis?,N/A
QnA,"Consignes d’isolement, symptômes et traitements","Risques pour les personnes ayant une DP, une DI ou un TSA.",N/A
QnA,"Commerces, lieux publics et services prioritaires","Si un client tousse et présente des symptômes, devrais-je lui dire de quitter l'épicerie?",N/A
QnA,"Sports, loisirs et culture",Est-il possible d'être deux personnes dans une chaloupe pour pêcher?,N/A
QnA,Famille et habitation,"Moi et ma mère on fait du ménage 1 fois aux 2 semaines dans une autre maison, on a tu le droit?",N/A
QnA,"Consignes d’isolement, symptômes et traitements",Que dois-je faire en cas d'isolement volontaire?,N/A
QnA,Municipalités,Est-ce que l'état d'urgence sanitaire a un impact sur la LERM?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Est-ce que je dois laver les colis que je reçois par la poste?,N/A
QnA,"Sports, loisirs et culture",est-ce que je peux aller au gym,N/A
QnA,"Commerces, lieux publics et services prioritaires",les bureaux peuvent-ils réouvrir même si je peux travailler à distance,N/A
QnA,Services de santé,Ou puis-je m'inscrire pour le recrutement de 10 000 préposées aux bénéficiaires?,N/A
QnA,Famille et habitation,Garde partagée,N/A
QnA,Transports et déplacements,Est-il permis de faire de la moto?,N/A
QnA,Transports et déplacements,Puis-je aller prendre des vacances dans un autre pays?,N/A
QnA,À propos de la COVID-19,"La COVID-19 passe-t-elle par le nez, la gorge et les poumons?",N/A
QnA,"Consignes d’isolement, symptômes et traitements",Est-ce qu'il est préférable de porter un masque pour éviter d'avoir le virus ?,N/A
QnA,"Sports, loisirs et culture",Peut-on aller se baigner chez des amis?,N/A
QnA,"Commerces, lieux publics et services prioritaires",que faire quand un client tousse à l'épicerie,N/A
QnA,Offrir son aide,"Je voudrais faire un don de sang, qu'est-ce que je fais?",N/A
QnA,Offrir son aide,Si j'achète un produit local est-ce que ça aide?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Quand les salons de bronzage vont-ils ouvrir?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Quelle est la marche à suivre pour respecter les normes d'isolement volontaire?,N/A
QnA,À propos de la COVID-19,Quel est le nombre d’hospitalisations lié au COVID-19 au Québec ?,N/A
QnA,À propos de la COVID-19,Le COVID-19 est-il un virus,N/A
QnA,Transports et déplacements,est-ce que les taxis et uber sont encore en fonction?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Esthéticienne,N/A
QnA,Famille et habitation,Ouverture des camps de jour?,N/A
QnA,"Consignes d’isolement, symptômes et traitements","De retour à la maison, est-ce nécessaire de nettoyer tous mes achats?",N/A
QnA,Offrir son aide,Est-ce que je peux donner du sang pour aider contre le virus?,N/A
QnA,"Consignes d’isolement, symptômes et traitements","Si je suis atteint de le covid, comment je dois laver mes vêtements?",N/A
QnA,"Consignes d’isolement, symptômes et traitements",J'ai des étourdissements,N/A
QnA,Programmes d'aide et revenus,Si je reçoit trop d'argent du PATT est-ce que je vais être obligé de rembourser?,N/A
QnA,Transports et déplacements,Dois-je me laver les mains après avoir pris un taxi ?,N/A
QnA,"Sports, loisirs et culture",La pêche est-elle ouverte?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Les marchés publics peuvent-ils maintenir leurs activités?,N/A
QnA,Écoles et éducation,J'aimerais savoir comment les élèves vont passer un niveau?,N/A
QnA,Offrir son aide,Est-ce que je peux m'inscrire à Je contribue ?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Est-il possible pour une personne immunodéficiente de retourner au travail?,N/A
QnA,"Sports, loisirs et culture",est-ce que je peux faire une randonnée de vélo?,N/A
QnA,"Sports, loisirs et culture",Les centres de plein air sont-ils ouvert?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Faut-il plutôt se laver les mains avec de l'eau chaude ou froide?,N/A
QnA,Transports et déplacements,Je n'ai pas pu partir en voyage aux USA et je veux être remboursé?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Quand est-ce que le centre de chiropratie va ourvir?,N/A
QnA,"Sports, loisirs et culture",À quand l'ouverture des sentiers pour les usagers des véhicules récréatifs?,N/A
QnA,Services de santé,Est-ce que je peux aller visiter quelqu'un en phase terminale à l'hôpital ?,N/A
QnA,"Consignes d’isolement, symptômes et traitements","Si je dois me placer en isolement volontaire, que dois-je faire?",N/A
QnA,"Sports, loisirs et culture",Je peux tu aller à ma fifthweel au camping?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Rester à la maison après un voyage à l'étranger.,N/A
QnA,Soutien aux personnes,Je peux-tu être accompagné quand je vais accoucher?,N/A
QnA,Soutien aux personnes,Est-ce qu'un employé agé devrait continuer de travailler ?,N/A
QnA,Services de santé,Ma grand-mère va mourrir seule si je ne peux pas aller la voir,N/A
QnA,Transports et déplacements,Peut-on être plusieurs dans une voiture?,N/A
QnA,Famille et habitation,Je possède un b&b au québec et je voudrais savoir quand je peux ouvrir,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Que dois-je faire si je reviens de retour de voyage ?,N/A
QnA,Famille et habitation,Est-ce que je peux aller chercher mon enfant en garde partagée qui est dans une région à accès limité?,N/A
QnA,Programmes d'aide et revenus,Quelles sont les raison du gouvernement Québecois d'arrêter le Programme d’aide temporaire aux travailleurs (PATT)?,N/A
QnA,"Sports, loisirs et culture",4 roues,N/A
QnA,Programmes d'aide et revenus,Quand est-ce que le premier versement du programme pirte aura lieu?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Est-ce qu'on doit fermer un établissement où il y a un certain nombre de personnes qui présentent des symptômes?,N/A
QnA,"Sports, loisirs et culture",remboursement chalet,N/A
QnA,"Sports, loisirs et culture",Est-ce que je peux jouer au tennis en double si les deux joueurs du même côté habitent à la même adresse?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Est-ce qu'un commerce peut interdire l'entrée à un enfant?,N/A
QnA,"Commerces, lieux publics et services prioritaires","J'ai un employé qui a attrapé la covid, est-ce que je dois mettre en quarantaine tous les employés qui ont été en contact avec?",N/A
QnA,Transports et déplacements,Je peux prendre le bus ou le metro?,N/A
QnA,Famille et habitation,Est-ce que je peux amener mon enfant en garde partagée  dans une zone fermée?,N/A
QnA,Transports et déplacements,écoles de conduite,N/A
QnA,Famille et habitation,Quelles sont les consignes que doivent respecter les travailleurs qui viennet à domicile?,N/A
QnA,Famille et habitation,"En cas de sinistre, quels services me sont offerts?",N/A
QnA,"Consignes d’isolement, symptômes et traitements",Les personnes avec maladies chroniques ont-elles le droit de refuser de retourner au travail?,N/A
QnA,Famille et habitation,Est-il possible d'aller faire le ménage chez ma soeur agée de 71 ans?,N/A
QnA,Écoles et éducation,Qu'est-ce que je fais avec mon stage en entreprise?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Que peut-il m'arriver si je ne respecte pas la Loi sur la mise en quarantaine par le gouvernement du Canada à mon retour de voyage?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Les symptômes de la grippe et de la COVID-19 sont-il différenciable?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Comment s'assurer d'aller faire une file d'attente en toute sécurité?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Les cliniques vont physiothérapies vont-elles ouvrir bientôt?,N/A
QnA,Transports et déplacements,Je ne possède pas de voiture. Comment faire pour me rendre à mon travail sans me faire infecter ?,N/A
